"","","edemandF","etaF","kF","edemandB","etaB","kB","Im","KmA","KmG","Gm","psi","nb","ng","a"
"result.67",67,0.914446572667688,0.346555374650549,0.0142156988925509,9.99949269335827,0.100100755028818,0.00109807690219815,1.71865812991109,499.960962952474,12.294160093061,0.500292076606734,0.160409909089773,0.223284754364153,0.622579869774428,0.120292018550972
"result.68",68,0.800052314069468,3.36413449799224,0.0147786102176091,9.99911984046767,0.100106422060838,0.000567571429406259,1.54595832653383,499.894278706409,10.260306291388,0.500444514267128,0.192422385673468,0.196844114107288,0.555992600141101,0.118867445176749
"result.69",69,0.800052314069468,0.264873920055565,0.0103362540222078,9.99928155801532,0.100023847083852,0.000949498762262618,1.33083722030681,415.671270197627,9.66418450450498,0.501338653859515,0.185849107232867,0.196212266315737,0.501769664387512,0.126610592786256
"result.70",70,0.800052314069468,1.05480286952647,0.0161234977117334,9.99986314095183,0.100038578190422,0.00246222651060855,1.29861090118956,408.21317254092,9.19539044048132,0.641296723264919,0.198803111116657,0.201134125918561,0.373728173172627,0.124151656290337
"result.71",71,1.42571318650112,0.544192493200721,0.0102897497979888,9.99960541856182,0.100183382640521,0.00328434222225437,1.94362552431055,499.992392245608,11.7396593500424,0.640699256834455,0.182935854743962,0.252055956131016,0.555220115421347,0.12567192260325
"result.72",72,0.800052314069468,2.56839644204305,0.0211108898204714,9.99798880459912,0.100118670718083,0.00313595946385131,1.51174971788926,499.882666745169,10.382658264622,0.502000637909562,0.181385325591639,0.213795309930349,0.572457239583438,0.111138495349473
"result.73",73,1.06076391952615,0.400481948440572,0.0183975719158796,9.99927239009077,0.100020217144185,0.00267347080204052,2.02047962093879,499.88552823367,15.1241032183176,0.66752549180619,0.132897828162272,0.273446112546063,0.584142565981397,0.115390891027318
"result.74",74,0.800052314069468,0.317002393398954,0.0211108898204714,9.997988804552,0.100118670718083,0.00136676710740855,1.47879301025166,373.995824011577,11.7118890129654,0.502000637909562,0.142483830801931,0.240811927262993,0.5598050906161,0.113422292507085
"result.75",75,0.826622364183685,1.97556204831227,0.010465082610629,9.99927135498233,0.100091362409487,0.00141882134222906,1.42607453327533,499.776183572045,9.50138503913172,0.500074472135872,0.196727430475109,0.186537069260944,0.541972539843798,0.118727921098465
"result.76",76,0.800052314069468,0.315944104291229,0.0153410404825316,9.99680566332496,0.100183382640521,0.00176487411783287,1.36331622907872,440.501885929233,9.41715812198597,0.501351148282319,0.195739080452532,0.197324518915837,0.510691252953706,0.117789411645491
"result.77",77,0.960225167452977,2.12861435869596,0.0211108898204714,9.99798880459912,0.100118670718083,0.00184874845766292,1.91630998632646,499.882666745169,13.8461520396652,0.799582114650681,0.145608984516294,0.24878669250189,0.45435368218768,0.109309017939605
"result.78",78,0.800052314069468,3.61313950314763,0.00970371426492784,9.9993309660695,0.100086292233977,0.00192117856917027,1.29308344639738,499.988420697641,8.95632282363121,0.500219311328928,0.236291986281415,0.171190297291901,0.483919351661055,0.12645454687684
"result.79",79,1.5056225757334,0.70930246110839,0.0211108898204714,9.99798880459912,0.100118670718083,0.00358902097393091,2.52062671220172,499.882666745169,14.7626216587272,0.991015353542184,0.132797460537912,0.327409970961879,0.483936658593329,0.11338520036807
"result.80",80,2.98425578496887,1.7018661896848,0.0211108898204714,9.99798880459912,0.100118670718083,0.00487835139378137,2.94356904484364,295.756891394432,26.9436473792047,1.26842647086111,0.0500285939505187,0.561427461539924,0.494592358575559,0.081949897572628
"result.81",81,0.93945426616213,0.384371691870375,0.0190234968767254,9.99928549310047,0.100046447021106,0.000891442804265455,1.63406182900484,362.319494751517,13.9753345999992,0.624038756709242,0.118481935076494,0.265339691486461,0.495412907838024,0.114433867022169
"result.82",82,0.800052314069468,0.53904515433776,0.0211108898204714,9.99798880459912,0.100118670718083,0.00483858911972791,1.28703465295312,499.882666745169,8.01269859858593,0.502000637909562,0.250239762792182,0.187637702097848,0.49165193744729,0.122026222689484
"result.83",83,0.80001785874342,2.62160525257244,0.0159530307755223,9.99927135498233,0.100036625033671,0.00193032611378762,1.44602027563069,499.776183542268,9.51521900570903,0.500560843980371,0.200223542017853,0.195843816221225,0.541635536877859,0.118353786775771
"result.84",84,0.8373086381975,3.27761565023569,0.0104000261156547,9.99927135497635,0.100016808681242,0.00164923530900589,1.39461233299471,499.776170540313,9.49530412477525,0.500635255316421,0.202510361749413,0.185671691170369,0.522495600355556,0.124044996674383
"result.85",85,1.00954842077583,0.356836202973954,0.0109881984456599,9.99966799819965,0.100183382640521,0.0015404975133434,1.66965801973597,499.868460843127,11.1275700802631,0.500057069169453,0.181540113761591,0.216611200714774,0.619076132145647,0.127466656149043
"result.86",86,0.816682759376499,4.58483320290015,0.0211108898204714,9.99798880459912,0.100118670718083,0.00153041663607067,1.66199699435942,499.882666745169,12.2653800654035,0.502000637909562,0.162967630641547,0.22374821479953,0.615178632162274,0.11048725750271
"result.87",87,1.1602126291942,0.472784359008665,0.0211108898204714,9.99798871269634,0.100118670718083,0.00295262048003999,2.17414103224878,499.882666745169,15.4553759791759,0.6869482157027,0.12753618255083,0.295199972766912,0.604293152728529,0.112640595171611
"result.88",88,0.800052314069468,0.300288452096805,0.0211108898204714,9.99798880459912,0.100118670718083,0.00140056861727044,1.85247336553234,499.882666745169,14.6404243848735,0.502000637909562,0.132582988504857,0.248683718921842,0.700415809791963,0.113153330112357
"result.89",89,0.800052314069468,0.304557184121431,0.0140283216766937,9.99928146351331,0.100048276665218,0.00127514756915126,1.51287550655981,499.992392245608,10.7647319303241,0.500024459607206,0.194735201413793,0.197136975133511,0.558821771419066,0.124063258853841
"result.90",90,0.800052314069468,0.286330720299473,0.0153483693610366,9.9977741851945,0.10000396655468,0.0019105744364806,1.629027591416,499.882666745169,12.2572993807874,0.658302856765399,0.163360129103805,0.21824506116613,0.477424838842273,0.12077520075697
"result.91",91,0.800052314069468,2.40188314323266,0.0101044032201768,9.9998006499846,0.100116798074178,0.00110020632375791,1.34033325118598,499.97173889935,9.10327861509059,0.500274999049998,0.23864578430044,0.170974330086622,0.474694560896021,0.129023483147307
"result.92",92,0.800052314069468,1.4699316246507,0.0211108898204714,9.99798880459912,0.100118670718083,0.00294261108263076,1.53510990622797,499.882666745169,10.6732933854431,0.502000637909562,0.17087843596501,0.216872851495462,0.584177345891017,0.112729944091725
"result.93",93,0.887565931664135,0.356364897218054,0.0211108898204714,9.99798880459912,0.100118670718083,0.00233607681281136,1.52321288376187,399.589227334244,10.9092872947468,0.502000637909562,0.150097287225991,0.243915166461003,0.584028755322222,0.113872004872732
"result.94",94,0.800052314069468,0.310148501888939,0.0123191875876274,9.99987413208548,0.100029177159632,0.00139868050164186,1.42207743987904,499.712652309242,9.3282578577136,0.500013897963384,0.210845226117812,0.186514480276824,0.512896846941804,0.124897222942774
"result.95",95,1.02759323785663,0.390261653122578,0.0211108898204714,9.99798880456335,0.100118670718083,0.0024412343273087,2.13142380796028,499.882666745169,17.5680620968258,0.586572314788296,0.117639203526429,0.29001805000082,0.697370733206464,0.112471252950601
"result.96",96,0.885952278457894,2.08972041162371,0.0101044032201768,9.9998006499846,0.100116798074178,0.00191141510838659,1.42551445908733,499.97173889935,9.41014500503845,0.500274999049998,0.187921048666419,0.192492638618162,0.53732039953787,0.123032009652061
"result.97",97,0.800052314069468,1.93505993292325,0.015115694761188,9.99680566332496,0.100100755028818,0.00218518612453451,1.36557568375325,463.826181225663,9.02179904703491,0.500292076606734,0.198316378472479,0.196416015654413,0.517636298646411,0.117880403160093
"result.98",98,0.800052314069468,0.196893312121352,0.0161234977117334,9.99986314095183,0.100038578190422,0.00428793483462554,2.56843256210255,489.618274289159,40.2742948651309,0.992169975864282,0.0500285939505187,0.387334859532806,0.58039199173989,0.12868596941525
"result.99",99,0.80001785874342,0.297648887758629,0.0104000261156547,9.99927135498233,0.100100526021744,0.000707650979435594,1.0833624935639,311.23291989316,7.41172459854346,0.500560843980371,0.188500468968433,0.188766371748851,0.406457332394324,0.122581266510555
"result.100",100,0.800052314069468,1.08277313900191,0.0173143727154335,9.99680562262829,0.100100755028818,0.00311035728488837,1.37082103699086,488.44331441169,9.20116450599239,0.500292076606734,0.20927504495884,0.194988631787057,0.525208080375427,0.117437561434467
